county 	Monroe County	FL		73090
county 	Nassau County	FL		73314
county 	Okaloosa County	FL		180822
county 	Okeechobee County	FL		39996
county 	Orange County	FL		1145956
county 	Osceola County	FL		268685
county 	Palm Beach County	FL		1320134
county 	Pasco County	FL		464697
county 	Pinellas County	FL		916542
county 	Polk County	FL		602095
county 	Putnam County	FL		74364
county 	St. Johns County	FL		190039
county 	St. Lucie County	FL		277789
county 	Santa Rosa County	FL		151372
county 	Sarasota County	FL		379448
county 	Seminole County	FL		422718
county 	Sumter County	FL		93420
county 	Suwannee County	FL		41551
county 	Taylor County	FL		22570
county 	Union County	FL		15535
county 	Volusia County	FL		494593
county 	Wakulla County	FL		30776
county 	Walton County	FL		55043
county 	Washington County	FL		24896
county 	Appling County	GA		18236
county 	Atkinson County	GA		8375
county 	Bacon County	GA		11096
county 	Baker County	GA		3451
county 	Baldwin County	GA		45720
county 	Banks County	GA		18395
county 	Barrow County	GA		69367
county 	Bartow County	GA		100157
county 	Ben Hill County	GA		17634
county 	Berrien County	GA		19286
county 	Bibb County	GA		155547
county 	Bleckley County	GA		13063
county 	Brantley County	GA		18411
county 	Brooks County	GA		16243
county 	Bryan County	GA		30233
county 	Bulloch County	GA		70217
county 	Burke County	GA		23316
county 	Butts County	GA		23655
county 	Calhoun County	GA		6694
county 	Camden County	GA		50513
county 	Candler County	GA		10998
county 	Carroll County	GA		110527
county 	Catoosa County	GA		63942
county 	Charlton County	GA		12171
county 	Chatham County	GA		265128
county 	Chattahoochee County	GA		11267
county 	Chattooga County	GA		26015
county 	Cherokee County	GA		214346
county 	Clarke County	GA		116714
county 	Clay County	GA		3183
county 	Clayton County	GA		259424
county 	Clinch County	GA		6798
county 	Cobb County	GA		688078
county 	Coffee County	GA		42356
county 	Colquitt County	GA		45498
county 	Columbia County	GA		124053
county 	Cook County	GA		17212
county 	Coweta County	GA		127317
county 	Crawford County	GA		12630
county 	Crisp County	GA		23439
county 	Dade County	GA		16633
county 	Dawson County	GA		22330
county 	Decatur County	GA		27842
county 	DeKalb County	GA		691893
county 	Dodge County	GA		21796
county 	Dooly County	GA		14918
county 	Dougherty County	GA		94565
county 	Douglas County	GA		132403
county 	Early County	GA		11008
county 	Echols County	GA		4034
county 	Effingham County	GA		52250
county 	Elbert County	GA		20166
county 	Emanuel County	GA		22598
county 	Evans County	GA		11000
county 	Fannin County	GA		23682
county 	Fayette County	GA		106567
county 	Floyd County	GA		96317
county 	Forsyth County	GA		175511
county 	Franklin County	GA		22084
county 	Fulton County	GA		920581
county 	Gilmer County	GA		28292
county 	Glascock County	GA		3082
county 	Glynn County	GA		79626
county 	Gordon County	GA		55186
county 	Grady County	GA		25011
county 	Greene County	GA		15994
county 	Gwinnett County	GA		805321
county 	Habersham County	GA		43041
county 	Hall County	GA		179684
county 	Hancock County	GA		9429
county 	Haralson County	GA		28780
county 	Harris County	GA		32024
county 	Hart County	GA		25213
county 	Heard County	GA		11834
county 	Henry County	GA		203922
county 	Houston County	GA		139900
county 	Irwin County	GA		9538
county 	Jackson County	GA		60485
county 	Jasper County	GA		13900
county 	Jeff Davis County	GA		15068
county 	Jefferson County	GA		16930
county 	Jenkins County	GA		8340
county 	Johnson County	GA		9980
county 	Jones County	GA		28669
county 	Lamar County	GA		18317
county 	Lanier County	GA		10078
county 	Laurens County	GA		48434
county 	Lee County	GA		28298
county 	Liberty County	GA		63453
county 	Lincoln County	GA		7996
county 	Long County	GA		14464
county 	Lowndes County	GA		109233
county 	Lumpkin County	GA		29966
county 	McDuffie County	GA		21875
county 	McIntosh County	GA		14333
county 	Macon County	GA		14740
county 	Madison County	GA		28120
county 	Marion County	GA		8742
county 	Meriwether County	GA		21992
county 	Miller County	GA		6125
county 	Mitchell County	GA		23498
county 	Monroe County	GA		26424
county 	Montgomery County	GA		9123
county 	Morgan County	GA		17868
county 	Murray County	GA		39628
county 	Muscogee County	GA		189885
county 	Newton County	GA		99958
county 	Oconee County	GA		32808
county 	Oglethorpe County	GA		14899
county 	Paulding County	GA		142324
county 	Peach County	GA		27695
county 	Pickens County	GA		29431
county 	Pierce County	GA		18758
county 	Pike County	GA		17869
county 	Polk County	GA		41475
county 	Pulaski County	GA		12010
county 	Putnam County	GA		21218
county 	Quitman County	GA		2513
county 	Rabun County	GA		16276
county 	Randolph County	GA		7719
county 	Richmond County	GA		200549
county 	Rockdale County	GA		85215
county 	Schley County	GA		5010
county 	Screven County	GA		14593
county 	Seminole County	GA		8729
county 	Spalding County	GA		64073
county 	Stephens County	GA		26175
county 	Stewart County	GA		6058
county 	Sumter County	GA		32819
county 	Talbot County	GA		6865
county 	Taliaferro County	GA		1717
county 	Tattnall County	GA		25520
county 	Taylor County	GA		8906
