Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
	Santa Rosa	CA	167815		city 	Y
Aguadilla/Isabela/San Sebastián		PR		306196	Urbanized Area	n
	Aguadilla	PR	13310		zona urbana 	n
	Isabela	PR	11255		zona urbana 	n
	San Sebastián	PR	9622		zona urbana 	p
Ann Arbor		MI		306022	Urbanized Area	y
	Ann Arbor	MI	113934		city 	y
Shreveport		LA		298317	Urbanized Area	Y
	Shreveport	LA	199311		city 	Y
Rockford		IL		296863	Urbanized Area	Y
	Rockford	IL	152871		city 	Y
Trenton		NJ		296668	Urbanized Area	Y
	Trenton	NJ	84913		city 	Y
Fayetteville/Springdale/Rogers		AR/MO		295083	Urbanized Area	p
	Fayetteville	AR	73580		city 	n
	Springdale	AR	69797		city 	n
	Rogers	AR	55964		city 	Y
Round Lake Beach/McHenry/Grayslake		IL/WI		290373	Urbanized Area	p
	Round Lake Beach	IL	28175		village 	y
	McHenry	IL	26992		city 	n
	Grayslake	IL	20957		village 	n
Lexington-Fayette		KY		290263	Urbanized Area	n
	Lexington-Fayette	KY	295803		urban county 	p
Huntsville		AL		286692	Urbanized Area	Y
	Huntsville	AL	180105		city 	Y
Asheville		NC		280648	Urbanized Area	n
	Asheville	NC	83393		city 	n
Davenport		IA/IL		280051	Urbanized Area	Y
	Davenport	IA	99685		city 	Y
Canton		OH		279245	Urbanized Area	Y
	Canton	OH	73007		city 	Y
South Bend		IN/MI		278165	Urbanized Area	y
	South Bend	IN	101168		city 	y
Antioch		CA		277634	Urbanized Area	Y
	Antioch	CA	102372		city 	Y
Springfield		MO		273724	Urbanized Area	Y
	Springfield	MO	159498		city 	Y
Peoria		IL		266921	Urbanized Area	Y
	Peoria	IL	115007		city 	Y
Reading		PA		266254	Urbanized Area	Y
	Reading	PA	88082		city 	Y
Fort Collins		CO		264465	Urbanized Area	y
	Fort Collins	CO	143986		city 	y
Montgomery		AL		263907	Urbanized Area	Y
	Montgomery	AL	205764		city 	Y
Lakeland		FL		262596	Urbanized Area	n
	Lakeland	FL	97422		city 	n
Savannah		GA		260677	Urbanized Area	Y
	Savannah	GA	136286		city 	Y
Lincoln		NE		258719	Urbanized Area	Y
	Lincoln	NE	258379		city 	Y
Santa Clarita		CA		258653	Urbanized Area	n
	Santa Clarita	CA	176320		city 	p
Columbus		GA/AL		253602	Urbanized Area	Y
	Columbus	GA	189885		city 	Y
Lafayette		LA		252720	Urbanized Area	Y
	Lafayette	LA	120623		city 	Y
Anchorage		AK		251243	Urbanized Area	Y
	Anchorage	AK	291826		municipality 	Y
Atlantic City		NJ		248402	Urbanized Area	y
	Atlantic City	NJ	39558		city 	y
Eugene		OR		247421	Urbanized Area	Y
	Eugene	OR	156185		city 	Y
Barnstable Town		MA		246695	Urbanized Area	n
	Barnstable Town	MA	45193		city 	p
Tallahassee		FL		240223	Urbanized Area	Y
	Tallahassee	FL	181376		city 	Y
